country;year;sector;size;sample;coverage_firms;coverage_turnover;coverage_employees;turnover;nb_firms;R11_NBQ;R11_Q1;R11_Q2;R11_Q3;R28_NBQ;R28_Q1;R28_Q2;R28_Q3
FR;2022;A;0;0;86.39;96.81;84.54;18502537;5263;5008;167.59;247.38;425.86;5263;-3.03;15.78;37.34
FR;2022;A01;0;0;94.74;99.08;96.38;15272976;4525;4325;165.88;246.25;436.00;4525;-1.71;17.19;38.28
FR;2022;A02;0;0;45.65;79.11;34.10;2084842;457;445;188.08;266.42;383.71;457;-14.49;7.33;29.10
FR;2022;A03;0;0;89.21;100.00;94.96;1144719;281;238;152.66;219.71;356.30;281;-13.84;5.28;30.64
FR;2022;B;0;0;61.67;66.18;79.20;10596521;777;723;162.14;220.90;353.76;777;-14.51;-0.12;12.23
FR;2022;B05;0;0;;;;;1;1;;;;1;;;
FR;2022;B06;0;0;38.78;;;;19;18;;;;19;;;
FR;2022;B07;0;0;20.00;;;;11;9;;;;11;;;
FR;2022;B08;0;0;65.85;100.00;95.74;7918579;727;680;163.59;221.21;349.83;727;-14.46;-0.09;12.69
FR;2022;B09;0;0;37.25;33.64;100.00;487763;19;15;137.38;333.00;612.03;19;-6.15;0.00;43.43
FR;2022;C;0;0;51.83;100.00;92.39;1091280341;38105;36179;165.55;223.17;342.68;38105;-15.48;-0.68;13.09
FR;2022;C10;0;0;42.91;100.00;91.42;165411821;6863;6404;169.43;231.01;373.67;6863;-11.17;1.68;19.73
FR;2022;C11;0;0;50.34;100.00;94.89;35199267;1110;1079;159.89;220.14;322.09;1110;-3.41;6.55;24.52
FR;2022;C12;0;0;66.67;87.45;98.58;574624;6;6;;127.20;;6;;-0.64;
FR;2022;C13;0;0;54.36;100.00;94.04;8127539;823;783;145.22;191.20;280.54;823;-18.53;-3.56;8.99
FR;2022;C14;0;0;35.04;100.00;92.14;11206427;528;504;156.21;195.35;285.79;528;-24.45;-4.62;9.94
FR;2022;C15;0;0;46.08;100.00;100.00;10860411;270;244;160.99;213.70;348.68;270;-17.59;-4.72;5.40
FR;2022;C16;0;0;58.75;100.00;92.06;14866882;1789;1723;168.47;216.67;316.35;1789;-16.71;-0.79;15.29
FR;2022;C17;0;0;78.42;100.00;98.50;22962653;752;721;157.19;205.28;296.54;752;-9.05;0.00;12.12
FR;2022;C18;0;0;36.39;96.57;84.79;6713799;1324;1230;174.51;234.14;355.83;1324;-15.55;1.09;17.99
